epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15826,1.51821,4.27648,1.29775,0.00138,0.41667,0.00114,0.00053,1.25992,3.9049,1.16326,0.00010002,0.00010002,0.00010002
2,3.16406,1.14324,3.81907,1.1327,0.00244,0.76667,0.24418,0.13784,1.06008,3.57,0.97497,0.000214565,0.000214565,0.000214565
3,4.23436,1.16127,3.00672,1.05864,0.00245,0.76667,0.66133,0.47107,1.0854,3.46146,0.98877,0.000326799,0.000326799,0.000326799
4,5.2642,1.03821,2.3186,1.06859,0.00245,0.76667,0.65407,0.51857,1.01528,3.30766,0.95788,0.000436722,0.000436722,0.000436722
5,6.29587,1.09354,2.36591,1.08812,0.00228,0.73333,0.5871,0.38322,1.13077,3.35497,1.00787,0.000544336,0.000544336,0.000544336
6,7.32946,0.98288,2.73946,1.00802,0.00218,0.7,0.58477,0.40352,1.159,3.23059,1.01967,0.000649638,0.000649638,0.000649638
7,8.32195,1.1302,2.23146,1.0611,0.77897,0.41667,0.56041,0.34971,1.24826,3.06449,1.10219,0.00075263,0.00075263,0.00075263
8,9.28542,1.0408,1.91597,1.01431,0.76572,0.41667,0.38227,0.22722,1.13108,3.0637,1.00885,0.000853312,0.000853312,0.000853312
9,10.2523,0.95341,1.74233,1.00004,0.77192,0.33333,0.59529,0.36649,1.18898,2.96664,1.04777,0.000951684,0.000951684,0.000951684
10,11.2068,0.96627,1.75317,1.03803,0.72854,0.42764,0.71238,0.50815,1.06811,2.86782,1.00583,0.00104774,0.00104774,0.00104774
11,12.1605,0.98533,1.73201,0.98521,0.50785,0.25,0.30534,0.1889,1.13524,3.18472,1.11997,0.00114149,0.00114149,0.00114149
12,13.123,0.94419,1.93267,1.06655,0.87448,0.48114,0.85294,0.58923,1.18501,2.41856,1.14966,0.00123293,0.00123293,0.00123293
13,14.1092,1.04283,1.67964,1.05921,0.96939,0.61176,0.84375,0.6274,1.17509,2.33633,1.11747,0.00132206,0.00132206,0.00132206
14,15.1216,0.88607,1.66688,1.04181,0.91157,0.73333,0.82532,0.5881,1.25955,2.15925,1.22645,0.00140888,0.00140888,0.00140888
15,16.0804,0.92622,1.49089,1.01105,1,0.82279,0.86698,0.62738,1.15828,2.09554,1.09544,0.00143595,0.00143595,0.00143595
16,17.0805,0.88861,1.33032,0.99331,0.96252,0.89496,0.91071,0.65698,1.09349,1.77021,1.04107,0.00141945,0.00141945,0.00141945
17,18.0683,0.90236,1.33826,0.99014,0.86965,0.9,0.91355,0.66922,1.13552,1.73793,1.11466,0.00140295,0.00140295,0.00140295
18,19.0653,0.88483,1.53865,0.9859,0.8874,0.9,0.98063,0.72557,1.03348,1.57532,1.06661,0.00138644,0.00138644,0.00138644
19,20.0681,0.92533,1.39093,1.04091,0.97269,0.92295,0.97933,0.6869,1.05166,1.60838,1.07436,0.00136994,0.00136994,0.00136994
20,21.0221,0.81608,1.22565,0.97833,0.92751,0.7908,0.925,0.67677,1.06156,1.34458,1.08224,0.00135344,0.00135344,0.00135344
21,21.966,0.84471,1.19423,0.99239,0.89724,0.80758,0.89177,0.68413,0.9804,1.23573,0.99661,0.00133693,0.00133693,0.00133693
22,22.921,0.90564,1.17305,0.97227,0.90403,1,0.995,0.74339,1.00585,1.22478,1.04511,0.00132043,0.00132043,0.00132043
23,23.918,0.86947,1.16142,1.00002,0.78865,0.94138,0.94813,0.70766,1.07555,1.20097,1.05648,0.00130393,0.00130393,0.00130393
24,24.9078,0.92008,1.38609,1.02604,0.95239,0.92773,0.96498,0.70968,1.1149,1.08343,1.09686,0.00128742,0.00128742,0.00128742
25,25.8862,0.89537,1.10414,1.01941,0.9343,0.95221,0.98545,0.74242,1.02123,1.06247,1.0629,0.00127092,0.00127092,0.00127092
26,26.8566,0.78358,1.18671,0.9572,0.93203,0.91701,0.99147,0.75596,0.98002,1.079,1.04475,0.00125442,0.00125442,0.00125442
27,27.8939,0.81742,1.08941,0.97031,0.88876,0.76667,0.87063,0.66329,1.05334,1.28311,1.03994,0.00123791,0.00123791,0.00123791
