epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.467828,1.47935,1.76886,1.6196,0.8614,0.77726,0.80847,0.44116,1.73232,1.44435,1.8682,0,0,0
2,0.808223,2.07988,2.07579,2.10783,0.83805,0.78143,0.80848,0.44159,1.72763,1.45388,1.86777,1.6505e-05,1.6505e-05,1.6505e-05
3,1.17086,1.62096,2.05324,1.58315,0.83075,0.78223,0.80849,0.44151,1.73401,1.45249,1.87151,3.26799e-05,3.26799e-05,3.26799e-05
4,1.48214,1.69901,2.29514,1.73597,0.87892,0.78418,0.80713,0.44123,1.72942,1.46153,1.87499,4.85247e-05,4.85247e-05,4.85247e-05
5,1.78905,1.74939,2.43573,1.94161,0.81481,0.71429,0.79241,0.43405,1.72878,1.48219,1.85725,6.40395e-05,6.40395e-05,6.40395e-05
6,2.12849,1.828,1.97112,1.8389,0.87282,0.77447,0.83217,0.46983,1.56019,1.15174,1.66469,7.92242e-05,7.92242e-05,7.92242e-05
7,2.53965,1.54536,2.60008,1.68476,0.8804,0.77512,0.83217,0.46986,1.55395,1.15131,1.66082,9.40788e-05,9.40788e-05,9.40788e-05
8,2.9472,1.55546,1.81117,1.68056,0.83691,0.84154,0.85581,0.53748,1.40396,0.9211,1.49833,0.000108603,0.000108603,0.000108603
9,3.36274,1.46318,1.56928,1.5627,0.82658,0.85714,0.85072,0.5315,1.32853,0.88807,1.41165,0.000122798,0.000122798,0.000122798
10,3.74713,1.26226,1.33072,1.43288,0.8562,0.92451,0.86645,0.5628,1.32849,0.9974,1.36388,0.000136662,0.000136662,0.000136662
11,4.14358,1.35237,1.35169,1.50959,0.86451,0.92857,0.87867,0.57809,1.36084,1.09233,1.3766,0.000150197,0.000150197,0.000150197
12,4.55841,1.34119,1.40841,1.60705,0.78047,0.92857,0.89636,0.59521,1.43076,1.23286,1.44786,0.000163401,0.000163401,0.000163401
13,4.95805,1.44805,1.26303,1.52629,0.72316,0.92857,0.9113,0.60095,1.44824,1.3933,1.46026,0.000176275,0.000176275,0.000176275
14,5.37638,1.09425,1.13961,1.25011,0.6977,0.92857,0.86625,0.57697,1.3976,1.58327,1.40305,0.000188819,0.000188819,0.000188819
15,5.75186,1.08981,1.1973,1.3447,0.67439,0.98268,0.85053,0.55821,1.34975,1.75498,1.37321,0.000201034,0.000201034,0.000201034
16,6.14026,1.11005,1.16536,1.36593,0.67481,1,0.84647,0.56446,1.28734,1.85027,1.35796,0.000212918,0.000212918,0.000212918
17,6.51536,1.22545,1.06608,1.51962,0.66981,1,0.83356,0.56836,1.21695,1.90005,1.31936,0.000224472,0.000224472,0.000224472
18,6.89197,1.04543,1.12316,1.33144,0.66981,1,0.83356,0.56836,1.21695,1.90005,1.31936,0.000235695,0.000235695,0.000235695
19,7.267,1.00893,0.96369,1.21824,0.63137,1,0.79187,0.52679,1.18898,1.83139,1.31714,0.000246589,0.000246589,0.000246589
20,7.6359,1.20105,0.93663,1.45592,0.63137,1,0.79187,0.52679,1.18898,1.83139,1.31714,0.000257153,0.000257153,0.000257153
21,8.0119,1.14275,1.01532,1.40068,0.62167,1,0.77839,0.50676,1.19551,1.74958,1.32581,0.000267387,0.000267387,0.000267387
22,8.37438,1.14597,1.13402,1.47324,0.62167,1,0.77839,0.50676,1.19551,1.74958,1.32581,0.00027729,0.00027729,0.00027729
23,8.74995,1.02766,1.05311,1.38147,0.64546,0.98234,0.82358,0.54556,1.18674,1.78792,1.31696,0.000286864,0.000286864,0.000286864
24,9.11861,1.05935,0.93968,1.39327,0.64546,0.98234,0.82358,0.54556,1.18674,1.78792,1.31696,0.000296108,0.000296108,0.000296108
25,9.48668,1.03118,0.98221,1.38615,0.65172,0.92857,0.87283,0.57946,1.20233,1.72214,1.31331,0.000305021,0.000305021,0.000305021
26,9.85461,0.98066,0.89455,1.2278,0.65172,0.92857,0.87283,0.57946,1.20233,1.72214,1.31331,0.000313604,0.000313604,0.000313604
27,10.2319,1.13359,1.03216,1.44293,0.67941,0.92857,0.88227,0.57041,1.22274,1.58534,1.3002,0.000321858,0.000321858,0.000321858
28,10.5976,1.0548,0.84944,1.30103,0.67941,0.92857,0.88227,0.57041,1.22274,1.58534,1.3002,0.000329781,0.000329781,0.000329781
29,10.9758,0.98864,0.89525,1.3137,0.73507,0.92857,0.89394,0.58697,1.20729,1.48283,1.27333,0.000337374,0.000337374,0.000337374
30,11.3467,0.90098,0.82411,1.23886,0.73507,0.92857,0.89394,0.58697,1.20729,1.48283,1.27333,0.000344637,0.000344637,0.000344637
31,11.7243,0.96391,0.81336,1.29337,0.81028,0.92857,0.88917,0.6067,1.17126,1.3601,1.24028,0.00035157,0.00035157,0.00035157
32,12.1281,0.87549,0.75855,1.14395,0.81028,0.92857,0.88917,0.6067,1.17126,1.3601,1.24028,0.000358173,0.000358173,0.000358173
33,12.531,0.94057,0.80907,1.302,0.78325,0.90872,0.88077,0.6056,1.15107,1.3259,1.23534,0.000364446,0.000364446,0.000364446
34,12.893,0.81226,0.65775,1.09771,0.78325,0.90872,0.88077,0.6056,1.15107,1.3259,1.23534,0.000370389,0.000370389,0.000370389
35,13.2733,0.84027,0.73221,1.1629,0.81832,0.894,0.89162,0.61483,1.17358,1.33368,1.24566,0.000376002,0.000376002,0.000376002
36,13.6602,0.90367,0.86166,1.23236,0.81832,0.894,0.89162,0.61483,1.17358,1.33368,1.24566,0.000381285,0.000381285,0.000381285
37,14.0575,0.89352,0.83487,1.24136,0.77239,0.92857,0.89082,0.62548,1.19018,1.29328,1.25595,0.000386237,0.000386237,0.000386237
38,14.4636,0.96658,0.82583,1.28628,0.77239,0.92857,0.89082,0.62548,1.19018,1.29328,1.25595,0.00039086,0.00039086,0.00039086
39,14.8855,0.87645,0.79635,1.27158,0.81233,0.92857,0.90556,0.63761,1.1647,1.2062,1.24525,0.000395152,0.000395152,0.000395152
40,15.3028,0.8786,0.74922,1.16531,0.81233,0.92857,0.90556,0.63761,1.1647,1.2062,1.24525,0.000399115,0.000399115,0.000399115
41,15.698,0.91379,0.73826,1.14886,0.80869,0.92857,0.91667,0.66437,1.1505,1.02087,1.23043,0.000402747,0.000402747,0.000402747
42,16.086,0.92463,0.7265,1.25511,0.80869,0.92857,0.91667,0.66437,1.1505,1.02087,1.23043,0.00040605,0.00040605,0.00040605
43,16.4872,0.84157,0.76725,1.249,0.91068,0.92857,0.94269,0.65763,1.19107,0.89011,1.24686,0.000409022,0.000409022,0.000409022
44,16.8524,0.91027,0.82169,1.29067,0.91068,0.92857,0.94269,0.65763,1.19107,0.89011,1.24686,0.000411664,0.000411664,0.000411664
45,17.2269,0.87745,0.74465,1.25305,0.91089,0.92548,0.954,0.64963,1.20898,0.83196,1.26536,0.000413976,0.000413976,0.000413976
46,17.5963,1.02863,0.86971,1.32245,0.91089,0.92548,0.954,0.64963,1.20898,0.83196,1.26536,0.000415958,0.000415958,0.000415958
47,17.97,0.73796,0.66419,1.06154,0.90234,0.92531,0.954,0.64518,1.20472,0.80344,1.27844,0.00041761,0.00041761,0.00041761
48,18.3395,0.83318,0.76283,1.20794,0.90234,0.92531,0.954,0.64518,1.20472,0.80344,1.27844,0.000418932,0.000418932,0.000418932
49,18.7146,0.8472,0.68161,1.22378,0.89357,0.91625,0.954,0.65777,1.21372,0.78047,1.31154,0.000419924,0.000419924,0.000419924
50,19.0777,0.85388,0.82726,1.27598,0.89357,0.91625,0.954,0.65777,1.21372,0.78047,1.31154,0.000420586,0.000420586,0.000420586
51,19.455,1.06732,0.84042,1.39514,0.86369,0.99563,0.94873,0.67929,1.19916,0.74898,1.2875,0.000420918,0.000420918,0.000420918
