epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60965,1.41126,3.87109,1.3059,0.00301,0.73654,0.12848,0.06116,1.31785,3.58127,1.2506,0.00011669,0.00011669,0.00011669
2,2.77755,1.20558,3.37975,1.1169,0.00418,0.9,0.37093,0.22821,1.13818,3.32829,1.07478,0.000249225,0.000249225,0.000249225
3,3.98906,1.19364,2.82601,1.09542,0.00444,0.975,0.56943,0.29438,1.29592,3.19971,1.13527,0.000380879,0.000380879,0.000380879
4,5.17012,1.22518,2.37135,1.13111,0.67051,0.5,0.4836,0.25548,1.20517,3.13124,1.1348,0.000511654,0.000511654,0.000511654
5,6.30443,1.18014,2.20654,1.13381,0.00339,0.825,0.48603,0.21712,1.31679,3.21942,1.2018,0.000641548,0.000641548,0.000641548
6,7.42854,1.08829,2.0148,1.06687,0.00341,0.8,0.45436,0.26523,1.1298,3.07962,1.08423,0.000770562,0.000770562,0.000770562
7,8.54877,1.0635,1.74205,1.04469,0.6777,0.5,0.59846,0.37924,1.23249,2.8435,1.14089,0.000898696,0.000898696,0.000898696
8,9.72088,1.01828,1.81958,1.05226,0.9016,0.15753,0.44295,0.28419,1.32674,2.92013,1.18039,0.00102595,0.00102595,0.00102595
9,10.8422,1.04511,1.66633,1.08951,0.81337,0.32358,0.64875,0.38254,1.28425,2.64657,1.30452,0.00115232,0.00115232,0.00115232
10,11.9857,1.01139,1.69201,1.09605,0.8259,0.21705,0.49817,0.25636,1.36206,2.94683,1.33568,0.00127782,0.00127782,0.00127782
11,13.1076,1.04612,1.70136,1.05798,0.90995,0.26923,0.57663,0.36304,1.34881,2.52604,1.33591,0.00140243,0.00140243,0.00140243
12,14.2048,1.04231,1.56476,1.04192,0.45916,0.58884,0.38384,0.24549,1.39686,3.23659,1.57859,0.00152616,0.00152616,0.00152616
13,15.3102,1.01426,1.47379,1.07616,0.45887,0.61811,0.52901,0.29283,1.43662,3.08213,1.51315,0.00160099,0.00160099,0.00160099
14,16.4046,1.13808,1.69437,1.0934,0.69642,0.55797,0.72422,0.42965,1.34049,2.48529,1.34451,0.00159549,0.00159549,0.00159549
15,17.5169,1.11564,1.43436,1.08082,0.67856,0.57385,0.77183,0.50356,1.22459,2.80241,1.33751,0.00158998,0.00158998,0.00158998
16,18.6431,1.08502,1.48388,1.11693,0.83607,0.74208,0.83733,0.55537,1.17198,1.64177,1.31952,0.00158448,0.00158448,0.00158448
17,19.8003,1.01259,1.62667,1.102,0.77893,0.67373,0.75806,0.52272,1.26934,1.77928,1.40042,0.00157898,0.00157898,0.00157898
18,20.894,1.02005,1.33704,1.09053,0.75992,0.69615,0.80867,0.5555,1.26379,1.72894,1.3523,0.00157348,0.00157348,0.00157348
19,22.0011,1.06096,1.43123,1.12518,0.79052,0.62191,0.7819,0.52853,1.31827,1.8438,1.3425,0.00156798,0.00156798,0.00156798
20,23.1069,1.03145,1.28922,1.08758,0.78065,0.7185,0.76662,0.50987,1.20556,1.8217,1.24025,0.00156248,0.00156248,0.00156248
21,24.2042,0.98127,1.29559,1.09392,0.84888,0.64724,0.78062,0.46176,1.27524,2.1223,1.36284,0.00155698,0.00155698,0.00155698
22,25.3063,0.97265,1.23664,1.04246,0.61365,0.7,0.74203,0.45159,1.3414,2.04967,1.43554,0.00155148,0.00155148,0.00155148
23,26.4141,0.99173,1.2859,1.122,0.55128,0.57308,0.53711,0.33219,1.39839,1.97556,1.43211,0.00154598,0.00154598,0.00154598
24,27.5213,0.8914,1.22701,1.01991,0.41579,0.52308,0.44527,0.30578,1.34417,3.67518,1.47383,0.00154047,0.00154047,0.00154047
25,28.6257,0.93552,1.32765,1.07457,0.8676,0.66098,0.67961,0.39767,1.56676,3.04309,1.7697,0.00153497,0.00153497,0.00153497
26,29.7197,0.96628,1.19783,1.10473,0.85523,0.59576,0.65354,0.41355,1.48925,2.09901,1.72271,0.00152947,0.00152947,0.00152947
27,30.831,0.94709,1.20402,1.11339,0.84624,0.44686,0.58385,0.38247,1.5405,3.17783,1.63202,0.00152397,0.00152397,0.00152397
28,31.9355,0.94362,1.16271,1.05609,0.90958,0.67911,0.7679,0.51637,1.24478,2.47509,1.33446,0.00151847,0.00151847,0.00151847
29,33.0278,0.82327,1.07933,1.02114,0.49272,0.70619,0.64898,0.33187,1.63784,3.15514,1.52597,0.00151297,0.00151297,0.00151297
30,34.1146,1.08801,1.22054,1.09178,0.95032,0.74615,0.82069,0.53701,1.34242,1.35933,1.3732,0.00150747,0.00150747,0.00150747
31,35.2208,1.07566,1.12118,1.13124,0.96994,0.77115,0.85661,0.56547,1.2892,1.31721,1.30032,0.00150197,0.00150197,0.00150197
32,36.3516,0.82671,1.01536,1.01226,0.90454,0.70243,0.77776,0.52779,1.21514,1.93778,1.22272,0.00149647,0.00149647,0.00149647
33,37.4467,0.8532,0.95793,1.02739,0.91863,0.75327,0.84877,0.57549,1.20465,1.13763,1.18681,0.00149096,0.00149096,0.00149096
34,38.5675,0.89343,0.95824,1.01475,0.78144,0.78304,0.83963,0.5769,1.18332,1.33329,1.13128,0.00148546,0.00148546,0.00148546
35,39.7092,0.82707,0.89566,0.98937,0.93301,0.72856,0.79231,0.52223,1.20262,1.25879,1.20572,0.00147996,0.00147996,0.00147996
36,40.7958,0.83196,0.9225,1.00873,0.92793,0.57952,0.70106,0.5015,1.32405,1.35489,1.41611,0.00147446,0.00147446,0.00147446
37,41.892,0.78701,0.88505,0.99881,0.85127,0.69808,0.81325,0.5942,1.06038,1.16222,1.10935,0.00146896,0.00146896,0.00146896
38,43.0181,0.82285,0.79499,0.98599,0.9045,0.72115,0.84678,0.61575,1.11909,1.07589,1.15034,0.00146346,0.00146346,0.00146346
39,44.1446,0.87867,0.96458,1.02881,0.80044,0.96154,0.88683,0.62357,1.096,1.16845,1.14291,0.00145796,0.00145796,0.00145796
40,45.2882,0.92607,0.90606,1.06219,0.90874,0.975,0.96451,0.67084,1.10095,0.8449,1.14397,0.00145246,0.00145246,0.00145246
41,46.4199,0.84061,0.86642,1.05274,0.91569,0.83202,0.89777,0.66027,1.1357,1.03265,1.17112,0.00144696,0.00144696,0.00144696
42,47.5112,0.8315,0.92671,1.04796,0.93291,0.8437,0.92859,0.66855,1.10774,0.98242,1.11894,0.00144145,0.00144145,0.00144145
43,48.6015,0.83615,0.80443,1.03254,0.90353,0.80276,0.90223,0.65802,1.06116,1.00077,1.10589,0.00143595,0.00143595,0.00143595
44,49.6808,0.77525,0.8903,0.96502,0.86651,0.85903,0.89464,0.67629,1.05549,0.88587,1.11788,0.00143045,0.00143045,0.00143045
45,50.7719,0.88593,0.8078,1.04562,0.83865,0.91999,0.9174,0.69551,1.02905,0.78177,1.09633,0.00142495,0.00142495,0.00142495
46,51.893,0.90897,0.96583,1.11996,0.81301,0.88195,0.92459,0.67304,1.08252,0.83123,1.10569,0.00141945,0.00141945,0.00141945
47,52.9821,0.87017,0.79564,1.02367,0.92377,0.85504,0.96774,0.66079,1.14336,0.75809,1.18403,0.00141395,0.00141395,0.00141395
48,54.0754,0.98896,0.88351,1.07283,0.87127,0.95249,0.96203,0.65613,1.15912,0.73154,1.19184,0.00140845,0.00140845,0.00140845
